City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Dire,ML,2020-11-07 14:16:52,12.28,-10.97,100.99,18,96,5.82
159,Asau,RO,2020-11-07 14:16:52,46.43,26.4,48.0,85,51,1.88
160,Taksimo,RU,2020-11-07 14:16:52,56.34,114.88,2.55,83,0,3.38
161,Marzuq,YE,2020-11-07 14:16:52,14.4,46.47,78.13,27,0,9.15
162,Podujevo,XK,2020-11-07 14:16:52,42.91,21.19,53.6,58,0,6.93
163,Diego De Almagro,CL,2020-11-07 14:16:52,-26.37,-70.05,73.06,26,0,7.23
164,Sistranda,NO,2020-11-07 14:16:52,63.73,8.83,46.4,75,75,11.41
165,Hualmay,PE,2020-11-07 14:16:52,-11.1,-77.61,66.65,65,1,7.74
166,Misratah,LY,2020-11-07 14:16:53,32.38,15.09,71.29,65,11,14.85
167,Machado,BR,2020-11-07 14:16:53,-21.67,-45.92,75.2,57,0,6.2
168,Najran,SA,2020-11-07 14:16:53,17.49,44.13,87.8,18,0,8.05
169,Marawi,PH,2020-11-07 14:16:53,8.0,124.29,73.99,89,100,8.01
170,Port Blair,IN,2020-11-07 14:16:53,11.67,92.75,81.88,79,0,7.2
171,Provost,CA,2020-11-07 14:16:53,52.35,-110.27,28.4,100,100,8.05
172,Sur,OM,2020-11-07 14:16:53,22.57,59.53,78.62,70,0,8.95
173,East London,ZA,2020-11-07 14:16:53,-33.02,27.91,73.4,73,20,13.87
174,San Quintin,MX,2020-11-07 14:16:53,30.48,-115.95,62.55,68,94,18.43
175,Falavarjan,IR,2020-11-07 14:16:54,32.56,51.51,68.0,13,100,2.24
176,Lake City,US,2020-11-07 14:16:54,30.19,-82.64,73.0,94,90,6.93
177,Gizo,SB,2020-11-07 14:16:54,-8.1,156.84,83.48,72,28,5.26
178,Kodiak,US,2020-11-07 14:16:54,57.79,-152.41,33.8,86,75,5.82
179,Metro,ID,2020-11-07 14:16:54,-5.11,105.31,77.61,84,99,3.33
180,Nicolae Balcescu,RO,2020-11-07 14:16:54,46.47,26.92,53.6,66,0,5.82
181,Libreville,GA,2020-11-07 14:16:54,0.39,9.45,84.2,79,20,11.41
182,San Policarpo,PH,2020-11-07 14:16:55,12.18,125.51,75.87,90,100,5.95
183,Sitka,US,2020-11-07 14:16:55,57.05,-135.33,29.98,93,14,3.67
184,Los Banos,PH,2020-11-07 14:16:55,14.17,121.18,78.8,78,75,1.12
185,Kati,ML,2020-11-07 14:16:55,12.74,-8.07,98.6,16,0,12.75
186,Port Hardy,CA,2020-11-07 14:15:05,50.7,-127.42,42.8,80,40,5.82
187,Kijabe,KE,2020-11-07 14:16:55,-0.93,36.58,66.99,68,47,8.99
188,New Rochelle,US,2020-11-07 14:12:33,40.91,-73.78,64.0,58,20,4.47
189,Bonavista,CA,2020-11-07 14:16:56,48.65,-53.11,52.0,87,100,13.87
190,Arivonimamo,MG,2020-11-07 14:16:56,-19.02,47.18,78.8,41,20,12.75
191,San-Pedro,CI,2020-11-07 14:16:56,4.75,-6.64,81.72,83,88,7.09
192,Morehead,US,2020-11-07 14:16:56,37.27,-87.18,54.0,87,90,3.96
193,Puerto Del Rosario,ES,2020-11-07 14:16:56,28.5,-13.86,73.4,69,20,8.05
194,Port Augusta,AU,2020-11-07 14:16:56,-32.5,137.77,59.0,82,0,3.36
195,Hervey Bay,AU,2020-11-07 14:14:20,-25.3,152.85,70.0,72,8,4.0
196,San Juan,AR,2020-11-07 14:16:57,-31.54,-68.54,77.77,35,0,7.18
197,Salinopolis,BR,2020-11-07 14:13:35,-0.61,-47.36,85.73,64,64,15.03
198,Arraial Do Cabo,BR,2020-11-07 14:16:57,-22.97,-42.03,75.2,73,40,9.17
199,Clovis,US,2020-11-07 14:16:57,36.83,-119.7,48.2,76,90,3.36
200,Hamilton,US,2020-11-07 14:11:58,39.18,-84.53,52.0,93,90,3.22
201,Grindavik,IS,2020-11-07 14:16:57,63.84,-22.43,44.6,87,90,26.4
202,Severo-Kurilsk,RU,2020-11-07 14:16:57,50.68,156.12,35.35,81,94,6.78
203,Mandalgovi,MN,2020-11-07 14:16:57,45.76,106.27,25.2,78,0,5.48
204,Road Town,VG,2020-11-07 14:16:57,18.42,-64.62,84.2,70,40,10.29
205,Jacareacanga,BR,2020-11-07 14:16:58,-6.22,-57.75,87.19,58,100,4.63
206,Springbok,ZA,2020-11-07 14:16:58,-29.66,17.89,67.26,50,0,23.62
207,Armidale,AU,2020-11-07 14:16:58,-30.52,151.65,48.0,82,61,5.99
208,Clermont,FR,2020-11-07 14:16:58,49.5,2.42,59.0,77,0,8.05
209,Grand Gaube,MU,2020-11-07 14:16:58,-20.01,57.66,75.0,71,6,5.01
