City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,North Platte,US,68.0,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
608,Hua Hin,TH,79.25,light rain,12.57,99.96,InterContinental
613,Akyab,MM,78.19,clear sky,20.15,92.9,Hotel Memory
614,Waddan,LY,63.9,broken clouds,29.16,16.14,محل الشريف محمد العايب
618,Kant,IN,67.33,clear sky,27.8,79.8,Haseeb Khan shatreng
620,Griffith,US,73.4,scattered clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
623,Starkville,US,79.0,scattered clouds,33.45,-88.82,Hilton Garden Inn Starkville
625,Aguimes,ES,71.6,broken clouds,27.91,-15.45,Hotel Villa de Aguimes
626,Tura,IN,66.22,clear sky,25.52,90.22,Hotel RIKMAN Continental
628,Circleville,US,75.99,clear sky,39.6,-82.95,Holiday Inn Express & Suites Circleville
631,Mareeba,AU,78.8,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
633,Menongue,AO,73.35,light rain,-14.66,17.69,Ritz Lauca
635,Kribi,CM,78.04,broken clouds,2.95,9.92,Les Vagues bleues
636,Bell Ville,AR,83.14,light rain,-32.63,-62.69,Hotel Central
643,Fomboni,KM,81.52,overcast clouds,-12.28,43.74,Auberge les abou
646,Vila Do Maio,CV,84.2,scattered clouds,15.13,-23.22,Residence 'I Delfini'
649,Carbonia,IT,66.2,few clouds,39.17,8.52,Lu 'Hotel
652,Makakilo City,US,77.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
653,Bonthe,SL,81.45,light rain,7.53,-12.51,Bonthe Holiday Village
656,Noumea,NC,66.2,clear sky,-22.28,166.46,Hôtel Le Lagon
659,Neuquen,AR,73.4,broken clouds,-38.95,-68.06,Hotel del Comahue
662,Cairns,AU,78.8,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
663,Gondanglegi,ID,76.37,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
665,South River,US,75.99,clear sky,40.45,-74.39,Holiday Inn Express & Suites Tower Center New Brunswick
666,Ajdabiya,LY,67.14,clear sky,30.76,20.23,الحاج سليمان الشترة
667,Makamba,BI,65.62,broken clouds,-4.13,29.8,Hotel St Etienne
669,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
