City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Poum,NC,-20.23,164.02,75.0,74,81,20.38,broken clouds
135,Yuxia,CN,34.06,108.63,57.0,71,91,2.24,overcast clouds
136,Raga,SS,8.46,25.68,79.12,33,0,2.51,clear sky
137,Vila Franca Do Campo,PT,37.72,-25.43,62.6,72,20,11.41,few clouds
138,Beloha,MG,-25.17,45.05,73.65,80,0,10.13,clear sky
139,Westport,US,41.14,-73.36,73.0,59,1,5.82,clear sky
140,Dongzhen,CN,22.38,110.94,65.17,65,0,5.82,clear sky
141,Batemans Bay,AU,-35.72,150.18,55.99,90,68,2.93,broken clouds
142,Melilla,ES,35.29,-2.94,66.2,82,75,3.36,broken clouds
143,Yanam,IN,16.73,82.22,73.17,72,0,3.91,clear sky
144,Flin Flon,CA,54.77,-101.86,15.8,85,90,10.29,overcast clouds
145,Longyearbyen,SJ,78.22,15.64,28.4,79,75,17.22,light snow
146,Kaohsiung,TW,22.62,120.31,71.6,78,75,3.36,broken clouds
147,Cravo Norte,CO,6.3,-70.2,88.79,60,96,3.36,light rain
148,Villarrobledo,ES,39.27,-2.6,55.0,76,41,5.17,scattered clouds
149,Pevek,RU,69.7,170.31,14.83,95,92,1.7,overcast clouds
150,Bambous Virieux,MU,-20.34,57.76,73.99,94,75,6.93,broken clouds
151,Kodiak,US,57.79,-152.41,46.4,75,75,5.82,broken clouds
152,Harper,LR,4.38,-7.72,80.22,83,83,7.29,light rain
153,Tual,ID,-5.67,132.75,83.07,74,93,6.71,overcast clouds
154,Yulara,AU,-25.24,130.99,78.8,16,52,6.93,broken clouds
155,Killybegs,IE,54.63,-8.45,55.4,82,75,10.29,broken clouds
156,Klamath Falls,US,42.22,-121.78,30.99,58,75,10.29,broken clouds
157,Conceicao Do Araguaia,BR,-8.26,-49.26,92.12,54,36,3.31,scattered clouds
158,Taylor,US,32.3,-99.83,73.4,53,75,20.8,broken clouds
159,Cayenne,GF,4.93,-52.33,89.6,62,40,16.11,scattered clouds
160,Port Keats,AU,-14.25,129.55,83.08,74,41,4.18,scattered clouds
161,Denpasar,ID,-8.65,115.22,82.4,88,20,2.24,few clouds
